KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,Trowse - Kier MG
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Norwich - Mason Road
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,Wymondham - Browick Road
Construction and Infrastructure,Highways,Local Highways,Local Highways,Hailsham - Amberstone Depot
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Ringmer - The Broyle
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Wymondham - Duplex Portacabins
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Norwich - Trowse
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Wymondham - Browick Road
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Manchester - Ashburton Road
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Wigan - Waterside House
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Paignton - Gallows Gate
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Redruth - Tolgus Mount
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Barnstaple - Roundswell Depot
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Western Power Distribution,Exeter - Woodbury Salterton
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Huntingdon - Henderson House
Construction and Infrastructure,Infrastructure and Utilities,McNicholas,Support Services,Trowse - UKPN
Centre,Group Centre,Group Centre,Kier Limited - Group Functions,Norwich - Trowse
Construction and Infrastructure,Highways,Local Highways,Local Highways,Northampton - Cornhill Close
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Lincoln - Enterprise House
Development Property and Business Services,Environmental,Environmental,Kier Environmental Services,North Somerset - Weston
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Manchester - Swinton
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities East,East Hanningford - Sandon Valley House
Construction and Infrastructure,Infrastructure and Utilities,Utilities North and East,Utilities North West,Reading - Kemble Court
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Cheadle - Cherry Lane
Construction and Infrastructure,Infrastructure and Utilities,Utilities Centre,Utilities Centre,Derby - Raynesway
Construction and Infrastructure,Highways,Local Highways,Local Highways,Paignton - Aspen Way
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,Speke - Kier House
Construction and Infrastructure,Highways,Local Highways,Local Highways,Manchester - Trafford Park
Construction and Infrastructure,Highways,Local Highways,Local Highways,Stevenage - The Business and Technology Centre
