KTPBusinessUnitDivision,KTPBusinessUnitStream,KTPBusinessUnitUnit,KTPBusinessReportingUnit,KTPBusinessUnitLocation
Construction and Infrastructure,Build UK,Build Southern,Build Southern,Aylesford - New Hythe Business Park
Construction and Infrastructure,Build UK,Build Centre,Build Centre,London - Foley Street
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Glasgow - Campsie House
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Kingswood - L&G
Development Property and Business Services,Workplace Services,Facilities Management,Facilities Management,Hove - L&G
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Epsom - Longmead Depot
Development Property and Business Services,Housing Maintenance,Housing Maintenance North,Housing Maintenance East,Richmond - Mercury Road
Development Property and Business Services,Workplace Services,Facilities Management,Business Assurance,Basingstoke - Southern Cross
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Trowbridge - Wiltshire County Council HQ
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Huntingdon - Hinchingbrooke Treatment Centre
Development Property and Business Services,Workplace Services,Technical Services,Hard Services,Cardiff - St Line House
Construction and Infrastructure,Build UK,Build Western & Wales,Build Western and Wales,Swansea - Technium 2
Construction and Infrastructure,Build UK,Build Major Projects,Build Major Projects,Cambridge - Waterbeach
Construction and Infrastructure,Infrastructure and Utilities,Professional Services,Professional Services,Rushden - Marriott House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Rushden - Marriott House
Construction and Infrastructure,Build UK,Build Centre,Build Centre,Rushden - Marriott House
Development Property and Business Services,Workplace Services,Facilities Management,KWS PFI,Plymouth - Mount Gould Local Care
Construction and Infrastructure,Build UK,Build KME,Build KME,Reading - Green Park
Construction and Infrastructure,Infrastructure and Utilities,UK Infrastructure,Infrastructure Projects,New Cumnock - Greenburn
Centre,Group Centre,Group Centre,Kier Limited - IT Functions,Liverpool - Kier House
Construction and Infrastructure,Infrastructure and Utilities,Utilities South and West,Utilities South,Hatfield - Affinity Water
